episod,total_reward
1,6.72201855464
2,9.7051904502
3,7.23107274691
4,-1.04431855509
5,2.09600481884
6,5.61451694183
7,1.99177280447
8,13.7218864779
9,17.1506452392
10,15.8036233916
11,15.1737994943
12,15.0901085684
13,16.5206895711
14,16.5923166815
15,5.42705769475
16,4.22916188572
17,5.8192628074
18,8.39598406084
19,11.7123381814
20,13.9203507918
21,15.7859516115
22,15.3714223504
23,12.9830045567
24,10.6364041329
25,11.3288295545
26,12.7625084805
27,12.7558854707
28,14.4413270176
29,14.684974165
30,13.7593262233
31,13.7369594576
32,9.68841443607
33,12.2799885024
34,13.785152351
35,15.4367488154
36,14.9379350941
37,15.2028242852
38,14.2924760726
39,13.916502546
40,13.4217239674
41,14.5857201685
42,13.4637820151
43,17.9953732779
44,16.7053673165
45,17.1907476017
46,16.8463744923
47,16.856604725
48,13.2610237167
49,15.5335000703
50,17.2168328255
51,13.6944045703
52,11.5748301066
53,14.1630832774
54,13.9960353132
55,13.6157816614
56,13.6772524836
57,13.5938515061
58,13.3624304983
59,13.8804634374
60,13.5485448035
61,13.8130728436
62,14.1282005911
63,13.9905410162
64,13.4338782762
65,13.3585945407
66,13.6743365653
67,13.7053868519
68,14.106952701
69,13.4401642023
70,13.8530532491
71,13.5531519312
72,13.8872087916
73,13.4759031091
74,13.9599846585
75,13.7127396187
76,13.4013562332
77,14.1740992869
78,13.5795742933
79,13.4270722339
80,13.571795822
81,13.8613759587
82,13.599151308
83,13.1458596445
84,13.4428230459
85,7.90027464594
86,1.63730482769
87,8.48778837267
88,8.98304929272
89,-5.75325919029
90,7.81023507005
91,-14.9812315387
92,-21.0150836286
93,-17.6742757028
94,-13.9163693374
95,-19.3588678901
96,-20.9650776357
97,-56.5166137611
98,-145.109527975
99,-138.111884916
100,-139.577557224
101,-133.46519652
102,-141.511050789
103,-139.650315004
104,-137.121486093
105,-136.826046584
106,-140.12700013
107,-138.901877674
108,-140.561178494
109,-132.504321719
110,-131.673583617
111,-132.432107915
112,-134.108448579
113,-139.158373953
114,-135.329551589
115,-135.341334359
116,-134.770994147
117,-135.299383665
118,-22.4885754772
119,-24.4175415774
120,-41.3479905712
121,-35.2266824782
122,-29.7399747412
123,-2.40865996204
124,-14.0755555307
125,5.79704532957
126,-105.988753264
127,-55.2973159237
128,-37.1731967576
129,17.6206457161
130,-149.027030807
131,-3.67138905921
132,-16.8745217376
133,-5.78938932917
134,6.06731713843
135,8.93964535127
136,-147.89659603
137,9.81826547558
138,-3.45207018865
139,-31.5025745036
140,-30.0154697184
141,-11.0771259096
142,-46.3957250038
143,-108.628858696
144,-116.27086664
145,-111.130274182
146,-68.7231576482
147,-48.6185000572
148,-73.3751503267
149,-164.417986502
150,-31.2773755854
151,-1.3556166808
152,-130.861472203
153,-69.1891768257
154,-160.395933994
155,-26.2407175624
156,-1.58612700104
