time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.84340114374e-06,1.51205650688e-06,10.0034581036,0.000988921302307,0.0011517460207,0.0,-0.000137206987874,0.000114272564672,0.115264653636,0.0376394762808,0.0425200398879,0.0,440.04879269483513,443.5539812595211,440.0737453164714,443.17779546067084
0.12000000000000001,-4.72881432828e-05,4.05577385697e-05,10.0156378354,0.00292344368909,0.00368286070439,0.0,-0.00166520207257,0.00142800528397,0.290696414939,0.018348274087,0.0415072977695,0.0,459.9077283478364,459.82842225552685,461.3733302382875,459.84831327878885
0.18,-0.000240661568749,0.000196447044012,10.0378723574,0.00402299424849,0.00652352588479,0.0,-0.00507807845439,0.00389010576323,0.450402533244,0.01828094526,0.0570120268047,0.0,454.9478590613702,456.18865441248687,455.56511549252787,455.5596641466485
0.23999999999999996,-0.000719314304946,0.00053287101839,10.0715194053,0.0054363259057,0.0101125437005,0.0,-0.0112970402155,0.0074760229261,0.671058005477,0.0324343467182,0.064905343951,0.0,473.7168752046977,474.3256207598333,473.2200416987237,474.30812095323364
0.3,-0.00165251871247,0.00111823617789,10.1177058644,0.00749365042355,0.0137428037663,0.0,-0.0202485668042,0.0122686552326,0.868354805403,0.0377603993173,0.0498070800001,0.0,467.68837654309317,466.51346683959133,467.21149708303005,467.62692951669743
0.36000000000000004,-0.00315789860538,0.00201529865962,10.1724520406,0.010032377436,0.0169203176618,0.0,-0.0302394758923,0.0178748996314,0.956440993584,0.0501367674593,0.0586130896206,0.0,432.1566564104026,432.9000960909241,434.77924865822604,435.81579911654666
0.4200000000000001,-0.00534481758282,0.00331198808639,10.2333606379,0.0128513487778,0.0207272293189,0.0,-0.0430404460941,0.0256524778498,1.07373169024,0.0397841249271,0.0716902161272,0.0,442.05943139212627,443.1384809170182,444.50178774102517,443.65399592951894
0.48000000000000015,-0.00838138953121,0.00513147367602,10.3012214139,0.0149995949057,0.0249994881878,0.0,-0.0586227383911,0.0352330933294,1.18816815794,0.0263398049485,0.0702149075603,0.0,442.83290556220277,442.715461131954,443.17916344833986,442.0734265617255
0.5400000000000001,-0.0123454686624,0.00751022450624,10.3721715869,0.0163256668831,0.0293080676374,0.0,-0.0738782354598,0.0441843371889,1.1768371049,0.0118834602876,0.0748206809403,0.0,401.8137093644533,402.2355520912039,401.7867152438415,400.4741428292635
0.6000000000000002,-0.0174457897729,0.0105256541325,10.4472650488,0.0170032247281,0.0337246709376,0.0,-0.0966146198776,0.0564029748665,1.32609930259,0.0100839960843,0.0710731767135,0.0,454.1384678618844,453.84190317591356,453.65474512485287,453.5101211334148
0.6600000000000003,-0.0239226492545,0.0142466278199,10.5288563435,0.01747936503,0.0381429255883,0.0,-0.119700560136,0.0676806020198,1.39351313775,0.00324969970398,0.0783253606058,0.0,427.8633829181982,428.48473336734094,428.869128577735,428.28819863483096
0.7200000000000003,-0.0319339722918,0.0186792523211,10.6160433746,0.0174656141031,0.0429864751326,0.0,-0.147838643387,0.0800810037265,1.51254866659,-0.00829894982783,0.0851372321744,0.0,444.89420872348586,445.45677134066926,445.3775472419666,444.4320959633481
0.7800000000000004,-0.0417065507755,0.0238397533099,10.7096143462,0.0169561825061,0.0491958491037,0.0,-0.178495062557,0.0918818160234,1.60632788695,-0.00887646557477,0.126153310059,0.0,436.4600767959533,439.8783050215425,436.7645123589036,436.71646607013713
0.8400000000000004,-0.0536924775515,0.0297771223581,10.8135246684,0.0160544329712,0.0568367653976,0.0,-0.221962694768,0.105939251841,1.85692383403,-0.0316592857569,0.129635727572,0.0,485.4665679923974,485.7410602062887,485.545737149615,483.8337189365637
0.9000000000000005,-0.0682032552013,0.0364541312615,10.927716205,0.0141596928562,0.064736707414,0.0,-0.262512542438,0.11643273604,1.94925750172,-0.0314189461383,0.135440648509,0.0,437.6114765987923,438.110561011514,438.7005151754982,438.7201002157379
0.9600000000000005,-0.0854053358163,0.0437415804105,11.0488702711,0.0121920082865,0.0732552455693,0.0,-0.311774901274,0.126269869627,2.08889992887,-0.0356983824188,0.152583352509,0.0,451.90676948601424,453.3045454446102,454.62946835088337,454.28608274677583
1.0200000000000005,-0.105521484392,0.0515388811128,11.1753043667,0.0103279048848,0.0821504069461,0.0,-0.359596733702,0.133453780187,2.12543100983,-0.0231270087997,0.13777644554,0.0,422.39928287052214,421.1422644928547,420.33241098613036,421.41999039484267
1.0800000000000005,-0.129048390045,0.0597799702686,11.3084131627,0.00920391544767,0.0905920454369,0.0,-0.425563090476,0.141101626958,2.31107668627,-0.0111428785272,0.145964073962,0.0,468.99147895341264,469.64415533359085,467.1297457592937,468.06334298216905
1.1400000000000006,-0.156820928362,0.0684651186602,11.4536078268,0.00854117912867,0.0991975775415,0.0,-0.501183560934,0.148318383134,2.52817348541,-0.0108517653288,0.137799360083,0.0,478.2622220629249,477.6575595766722,479.4133420803978,479.43559417343226
1.2000000000000006,-0.188870174513,0.0775280796123,11.6071865371,0.0077465434645,0.107117148739,0.0,-0.567896726361,0.153708682611,2.59087583758,-0.018517845398,0.116677044009,0.0,433.97567815212557,432.21535947741927,432.12193931014417,431.4753388380105
1.2600000000000007,-0.225136610235,0.0869017584103,11.7650918568,0.00613958791844,0.114281094568,0.0,-0.641670152106,0.158619957257,2.6723460763,-0.0535141044871,0.124347885553,0.0,438.34510230953566,438.99508141458574,440.7906001100627,437.88859748113305
